3.653000,0.028243,0.028243,0.000000
3.582000,0.028245,0.028245,0.000000
3.510500,0.028261,0.028261,0.000000
3.439500,0.028275,0.028275,0.000000
3.368000,0.028306,0.028306,0.000000
3.297000,0.028360,0.028360,0.000000
3.226000,0.028402,0.028402,0.000000
3.154500,0.028422,0.028422,0.000000
3.083500,0.028435,0.028435,0.000000
3.012000,0.028426,0.028426,0.000000
2.941000,0.028409,0.028409,0.000000
2.869500,0.028410,0.028410,0.000000
2.798500,0.028431,0.028431,0.000000
2.727500,0.028469,0.028469,0.000000
2.656000,0.028526,0.028526,0.000000
2.585000,0.028548,0.028548,0.000000
2.513500,0.028566,0.028566,0.000000
2.442500,0.028561,0.028561,0.000000
2.371000,0.028553,0.028553,0.000000
2.300000,0.028535,0.028535,0.000000
2.229000,0.028544,0.028544,0.000000
2.157500,0.028579,0.028579,0.000000
2.086500,0.028618,0.028618,0.000000
2.015000,0.028657,0.028657,0.000000
1.944000,0.028680,0.028680,0.000000
1.872500,0.028690,0.028690,0.000000
1.801500,0.028680,0.028680,0.000000
1.730500,0.028680,0.028680,0.000000
1.659000,0.028696,0.028696,0.000000
1.588000,0.028733,0.028733,0.000000
1.516500,0.028749,0.028749,0.000000
1.445500,0.028771,0.028771,0.000000
1.374000,0.028811,0.028811,0.000000
1.303000,0.028836,0.028836,0.000000
1.232000,0.028858,0.028858,0.000000
1.160500,0.028872,0.028872,0.000000
1.089500,0.028893,0.028893,0.000000
1.018000,0.028916,0.028916,0.000000
0.947000,0.028942,0.028942,0.000000
0.876000,0.028972,0.028972,0.000000
0.804500,0.029001,0.029001,0.000000
0.733500,0.029024,0.029024,0.000000
0.662000,0.029047,0.029047,0.000000
0.591000,0.029062,0.029062,0.000000
0.519500,0.029091,0.029091,0.000000
0.448500,0.029142,0.029142,0.000000
0.377500,0.029209,0.029209,0.000000
0.306000,0.029259,0.029259,0.000000
0.235000,0.029297,0.029297,0.000000
0.163500,0.029304,0.029304,0.000000
0.092500,0.029325,0.029325,0.000000
0.021000,0.029340,0.029340,0.000000
</IV DATA>
